progress 02:22:34   35/100 last=MIB-000312 tier=heavy 35.5s
progress 02:23:19   40/100 last=MIB-000745 tier=heavy 38.0s
progress 02:24:04   45/100 last=MIB-000404 tier=heavy 36.7s
progress 02:24:50   45/100 last=MIB-000404 tier=heavy 36.7s
progress 02:25:35   50/100 last=MIB-000536 tier=light 1.8s
progress 02:26:20   50/100 last=MIB-000536 tier=light 1.8s
progress 02:27:05   50/100 last=MIB-000536 tier=light 1.8s
progress 02:27:50   50/100 last=MIB-000536 tier=light 1.8s
progress 02:28:35   55/100 last=MIB-000213 tier=heavy 50.8s
progress 02:29:20   60/100 last=MIB-000805 tier=heavy 45.5s
progress 02:30:05   60/100 last=MIB-000805 tier=heavy 45.5s
progress 02:30:50   60/100 last=MIB-000805 tier=heavy 45.5s
progress 02:31:35   65/100 last=MIB-000299 tier=heavy 56.3s
progress 02:32:20   80/100 last=MIB-000047 tier=light 2.3s
progress 02:33:05   85/100 last=MIB-000027 tier=heavy 48.1s
